f1-score=0.89,
1,0
2,0
3,0
7,0
18,0
19,0
24,1
30,0
31,0
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
68,1
69,0
78,0
79,0
80,0
81,0
83,0
84,1
85,0
86,0
87,0
90,0
91,0
92,1
93,0
94,0
96,0
97,1
118,1
119,_0
124,1
130,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,0
150,0
152,1
153,0
154,0
155,0
156,1
157,1
168,0
169,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,1
190,0
191,0
192,0
194,0
195,1
197,0
208,0
209,0
218,1
219,1
221,1
223,1
224,0
225,0
226,0
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,1
246,0
247,0
252,0
284,0
285,0
290,1
291,0
332,0
342,0
343,1
344,1
345,0
346,0
347,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
369,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
390,0
391,1
392,0
394,0
395,0
396,0
397,0
408,0
409,0
418,1
419,0
420,0
422,1
423,0
424,0
425,1
426,0
430,0
431,0
433,0
434,1
435,1
436,0
437,0
454,1
468,1
483,0
497,0
508,0
509,1
520,1
521,0
534,1
535,0
541,0
543,0
544,0
545,1
546,0
547,0
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,0
568,0
569,0
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,1
587,0
590,0
591,0
592,0
593,1
597,0
608,0
609,0
618,0
619,0
620,0
621,0
622,0
624,0
626,1
627,0
630,0
631,0
633,1
635,0
636,0
637,0
642,0
656,0
680,0
681,1
694,0
722,0
723,1
736,0
737,1
740,0
742,1
743,0
744,1
745,1
746,1
747,0
750,0
751,0
752,1
753,0
755,0
756,0
757,0
768,0
769,0
780,0
781,1
782,0
783,0
784,0
786,1
787,0
790,0
791,0
792,1
794,1
795,0
796,0
800,0
801,0
802,0
803,0
804,0
806,1
807,0
811,0
812,0
814,0
815,1
817,0
828,0
829,0
838,0
839,1
858,1
859,0
864,0
870,0
871,1
904,0
905,0
910,1
911,0
938,1
948,0
958,0
959,0
960,0
961,0
962,0
