f1-score=0.92,
1,1
2,1
3,1
7,1
18,1
19,0
24,1
30,1
31,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
68,1
69,1
78,1
79,1
80,0
81,0
83,1
84,1
85,1
86,1
87,1
90,0
91,0
92,1
93,1
94,1
96,1
97,1
118,1
119,_0
124,1
130,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
150,1
152,1
153,0
154,1
155,1
156,1
157,1
168,1
169,1
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
190,1
191,0
192,1
194,1
195,1
197,0
208,0
209,0
218,0
219,1
221,1
223,0
224,0
225,1
226,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,1
246,0
247,1
252,0
284,0
285,0
290,1
291,0
332,0
342,1
343,1
344,1
345,0
346,0
347,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
369,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,1
390,0
391,1
392,1
394,1
395,1
396,1
397,0
408,1
409,1
418,1
419,1
420,0
422,1
423,0
424,1
425,1
426,1
430,1
431,1
433,1
434,1
435,1
436,0
437,0
454,1
468,1
483,1
497,0
508,1
509,1
520,1
521,1
534,1
535,1
541,1
543,1
544,1
545,1
546,0
547,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
568,1
569,1
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,1
587,0
590,1
591,1
592,1
593,1
597,0
608,1
609,1
618,1
619,1
620,1
621,1
622,0
624,1
626,1
627,1
630,1
631,0
633,1
635,1
636,1
637,1
642,1
656,1
680,1
681,1
694,1
722,1
723,1
736,0
737,1
740,1
742,1
743,1
744,1
745,1
746,1
747,1
750,0
751,1
752,1
753,1
755,1
756,0
757,1
768,1
769,1
780,1
781,1
782,1
783,0
784,1
786,1
787,0
790,0
791,1
792,1
794,1
795,0
796,1
800,0
801,1
802,1
803,1
804,1
806,1
807,1
811,1
812,1
814,0
815,1
817,1
828,1
829,0
838,1
839,0
858,1
859,0
864,0
870,1
871,1
904,1
905,1
910,1
911,1
938,0
948,1
958,1
959,0
960,0
961,1
962,1
963,1
964,1
965,1
966,1
967,0
970,1
971,1
972,1
973,0
974,0
975,1
976,1
977,1
988,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,1
1016,1
1017,1
1028,1
1038,0
1039,1
1062,1
1063,1
1076,0
1077,0
1088,0
1089,1
1103,1
1117,1
1158,1
1159,1
1160,0
1161,1
1162,1
1163,1
1165,1
1166,1
1170,0
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1188,1
1189,1
1198,1
1199,0
1200,1
1201,0
1202,0
1203,1
1204,0
1206,1
1207,1
1210,1
1211,0
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1228,1
1238,0
1249,1
1260,0
1261,1
1274,1
1275,1
1301,1
1314,1
1315,1
1329,1
1348,1
1349,1
1358,1
1359,1
1360,0
1361,0
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1388,1
1389,1
1398,1
1401,0
1402,1
1404,1
1405,1
1406,1
1407,0
1410,1
1411,0
1413,1
1414,0
1415,1
1416,1
1417,1
1438,1
1439,1
1466,1
1467,1
1472,1
1473,1
1498,0
1507,1
1512,1
1513,1
1548,1
1549,0
1558,0
1559,1
1560,0
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,0
1570,0
1571,1
1573,1
1574,1
1575,0
1576,1
1577,1
1588,0
1598,1
1599,1
1600,1
1601,1
1602,1
1604,1
1605,0
1606,1
1607,1
1610,1
1611,1
1612,1
1614,1
1616,1
1628,1
1638,1
1639,1
1659,1
1665,1
1704,0
1705,0
1710,1
1711,1
1739,1
1748,1
1749,1
1758,0
1759,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,0
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1788,0
1789,1
1799,1
1808,1
1809,1
1818,0
1819,1
1820,1
1821,1
1822,0
1823,1
1824,1
1825,1
1826,0
1827,1
1830,1
1831,1
1832,0
1834,1
1835,1
1836,1
1837,1
1842,1
1856,1
1881,1
1895,1
1923,1
1936,1
1937,1
1941,1
1942,1
1943,0
1945,1
1946,1
1947,0
1950,1
1951,1
1952,1
1953,1
1954,0
1956,1
1957,1
1968,1
1969,1
1979,0
1980,1
1981,1
1982,1
1983,1
1984,1
1985,0
1986,0
1987,1
1990,1
1991,1
1993,1
1994,1
1995,1
1996,1
1997,1
2026,1
2027,1
2033,1
2041,1
2042,1
2043,1
